long,lat,mag,X_mercator,Y_mercator
-180,33,-0.29,-10669445.554195119,2074146.7872889389
-180,34,-0.22,-10669445.554195119,2145230.9903561836
-180,35,-0.7,-10669445.554195119,2217157.0636785803
-180,36,-0.99,-10669445.554195119,2289967.6343614184
-180,37,-0.94,-10669445.554195119,2363707.4712870806
-180,38,-0.61,-10669445.554195119,2438423.6574741653
-180,39,0.26,-10669445.554195119,2514165.778828651
-180,40,1.16,-10669445.554195119,2590986.131252102
-180,41,0.72,-10669445.554195119,2668939.9483489143
-180,42,-0.85,-10669445.554195119,2748085.652297438
-180,43,-1.25,-10669445.554195119,2828485.1308270334
-180,44,-0.13,-10669445.554195119,2910204.0436853105
-180,45,1.68,-10669445.554195119,2993312.1624999014
-180,46,3.66,-10669445.554195119,3077883.7485526614
-180,47,5.11,-10669445.554195119,3163997.9737107884
-180,48,5.6,-10669445.554195119,3251739.3906227383
-180,49,5.26,-10669445.554195119,3341198.4593167556
-180,50,4.72,-10669445.554195119,3432472.1385733904
-180,51,4.23,-10669445.554195119,3525664.55192683
-180,52,3.56,-10669445.554195119,3620887.739941865
-180,53,1.93,-10669445.554195119,3718262.5125877024
-180,54,-0.5,-10669445.554195119,3817919.4181811535
-180,55,-2.58,-10669445.554195119,3919999.8486208925
-180,56,-3.53,-10669445.554195119,4024657.30463745
-180,57,-4.4,-10669445.554195119,4132058.8497432065
-180,58,-5.24,-10669445.554195119,4242386.787747845
-180,59,-4.93,-10669445.554195119,4355840.606456783
-180,60,-3.9,-10669445.554195119,4472639.239957092
-180,61,-3.15,-10669445.554195119,4593023.714338441
-180,62,-2.91,-10669445.554195119,4717260.257635295
-180,63,-2.82,-10669445.554195119,4845643.975356215
-180,64,-2.43,-10669445.554195119,4978503.219764019
-180,65,-1.98,-10669445.554195119,5116204.816284378
-180,66,-2.31,-10669445.554195119,5259160.357144937
-180,67,-2.98,-10669445.554195119,5407833.834996518
-180,68,-2.98,-10669445.554195119,5562750.974221075
-180,69,-2.96,-10669445.554195119,5724510.734238345
-180,70,-3.46,-10669445.554195119,5893799.621304472
-180,71,-3.64,-10669445.554195119,6071409.6741232835
-180,72,-2.71,-10669445.554195119,6258261.316551574
-180,73,-0.96,-10669445.554195119,6455432.748868278
-180,74,0.49,-10669445.554195119,6664198.259637625
-180,75,0.55,-10669445.554195119,6886078.91842339
-180,76,-0.05,-10669445.554195119,7122910.7844191175
-180,77,-0.36,-10669445.554195119,7376938.436567015
-180,78,-0.23,-10669445.554195119,7650946.01674496
-180,79,-0.02,-10669445.554195119,7948445.427955284
-180,80,0.38,-10669445.554195119,8273954.485169323
-180,81,0.85,-10669445.554195119,8633422.118044501
-180,82,1.15,-10669445.554195119,9034905.06735451
-180,83,1.77,-10669445.554195119,9489698.822323818
-180,84,3.21,-10669445.554195119,10014346.264941249
-180,85,4.56,-10669445.554195119,10634494.268930687
-180,86,5.0,-10669445.554195119,11393108.636102777
-180,87,4.9,-10669445.554195119,12370735.362810196
-180,88,4.52,-10669445.554195119,13748203.065677434
-179,-88,26.07,-10610170.856671814,-13748203.065677434
-179,-87,45.55,-10610170.856671814,-12370735.362810196
-179,-86,53.88,-10610170.856671814,-11393108.636102777
-179,-85,57.76,-10610170.856671814,-10634494.268930687
-179,-84,77.57,-10610170.856671814,-10014346.264941249
-179,-83,97.44,-10610170.856671814,-9489698.822323818
-179,-82,91.88,-10610170.856671814,-9034905.06735451
-179,-81,49.65,-10610170.856671814,-8633422.118044501
-179,-80,-25.18,-10610170.856671814,-8273954.485169323
-179,-79,-116.04,-10610170.856671814,-7948445.427955284
-179,-78,-205.25,-10610170.856671814,-7650946.01674496
-179,-77,-270.7,-10610170.856671814,-7376938.436567015
-179,-76,-279.81,-10610170.856671814,-7122910.7844191175
-179,-75,-209.28,-10610170.856671814,-6886078.91842339
-179,-74,-95.71,-10610170.856671814,-6664198.259637625
-179,-73,9.95,-10610170.856671814,-6455432.748868278
-179,-72,78.68,-10610170.856671814,-6258261.316551574
-179,-71,107.03,-10610170.856671814,-6071409.6741232835
-179,-70,100.07,-10610170.856671814,-5893799.621304472
-179,-69,55.78,-10610170.856671814,-5724510.734238345
-179,-68,-31.47,-10610170.856671814,-5562750.974221075
-179,-67,-138.57,-10610170.856671814,-5407833.834996518
-179,-62,-222.34,-10610170.856671814,-4717260.257635295
-179,-61,-207.42,-10610170.856671814,-4593023.714338441
-179,-60,-204.05,-10610170.856671814,-4472639.239957092
-179,-59,-184.36,-10610170.856671814,-4355840.606456783
-179,-58,-132.64,-10610170.856671814,-4242386.787747845
-179,-57,-35.71,-10610170.856671814,-4132058.8497432065
-179,-56,115.67,-10610170.856671814,-4024657.30463745
-179,-55,307.82,-10610170.856671814,-3919999.8486208925
-179,-54,487.01,-10610170.856671814,-3817919.4181811535
-179,-53,593.47,-10610170.856671814,-3718262.5125877024
-179,-52,583.33,-10610170.856671814,-3620887.739941865
-179,-51,508.99,-10610170.856671814,-3525664.55192683
-179,-50,439.02,-10610170.856671814,-3432472.1385733904
-179,-49,413.86,-10610170.856671814,-3341198.4593167556
-179,-48,414.55,-10610170.856671814,-3251739.3906227383
-179,-47,372.53,-10610170.856671814,-3163997.9737107884
-179,-46,240.5,-10610170.856671814,-3077883.7485526614
-179,-45,27.44,-10610170.856671814,-2993312.1624999014
-179,-44,-143.08,-10610170.856671814,-2910204.0436853105
-179,-43,-185.09,-10610170.856671814,-2828485.1308270334
-179,-42,-181.97,-10610170.856671814,-2748085.652297438
-179,-41,-198.13,-10610170.856671814,-2668939.9483489143
-179,-40,-211.72,-10610170.856671814,-2590986.131252102
-179,-39,-204.4,-10610170.856671814,-2514165.778828651
-179,-38,-180.53,-10610170.856671814,-2438423.6574741653
-179,-37,-147.07,-10610170.856671814,-2363707.4712870806
-179,-36,-110.88,-10610170.856671814,-2289967.6343614184
-179,-35,-82.7,-10610170.856671814,-2217157.0636785803
-179,-34,-66.35,-10610170.856671814,-2145230.9903561836
-179,-33,-58.88,-10610170.856671814,-2074146.7872889389
-179,-32,-52.32,-10610170.856671814,-2003863.8114550377
-179,-31,-40.07,-10610170.856671814,-1934343.2593672343
-179,-30,-25.62,-10610170.856671814,-1865548.0343258735
-179,-29,-14.49,-10610170.856671814,-1797442.6242855263
-179,-28,2.24,-10610170.856671814,-1729992.9892811559
-179,-27,31.73,-10610170.856671814,-1663166.4574767638
-179,-26,69.72,-10610170.856671814,-1596931.6290016281
-179,-25,94.85,-10610170.856671814,-1531258.2868287156
-179,-24,78.22,-10610170.856671814,-1466117.314028258
-179,-23,51.7,-10610170.856671814,-1401480.616798391
-179,-22,62.74,-10610170.856671814,-1337321.0527354085
-179,-21,89.98,-10610170.856671814,-1273612.363859635
-179,-20,94.49,-10610170.856671814,-1210329.11396013
-179,-19,75.17,-10610170.856671814,-1147446.6298631658
-179,-18,39.55,-10610170.856671814,-1084940.94626637
-179,-17,1.23,-10610170.856671814,-1022788.7538131509
-179,-16,-30.62,-10610170.856671814,-960967.3501110679
